objective,directivity_dbi,cone_power,cone_power_ratio,cone_power_percent,sll_db,min_spacing_mm,peak_theta_deg,peak_phi_deg,grad_norm,iteration
18.28459191273559,18.28459191273559,0.6933100816414003,0.6933100816414003,69.33100816414003,-9.385842360288748,5.621108587500089,0.0,0.0,3.614403392358022,0
18.33476284272226,18.33476284272226,0.6972675828780894,0.6972675828780894,69.72675828780895,-9.531853349677283,5.64787577320611,0.0,0.0,3.589766335960975,1
18.384588143308406,18.384588143308406,0.7013522137273689,0.7013522137273689,70.1352213727369,-9.670160186803303,5.674640611360173,0.0,0.0,3.567014783627169,2
18.43413136531617,18.43413136531617,0.7055860545049847,0.7055860545049847,70.55860545049846,-9.799523921698821,5.701401503589451,0.0,0.0,3.5459440502512183,3
18.48334579366537,18.48334579366537,0.7098645076677297,0.7098645076677297,70.98645076677298,-9.927179968737036,5.728156342937963,0.0,0.0,3.5252595531678494,4
18.532326788406706,18.532326788406706,0.7141378471697899,0.7141378471697899,71.413784716979,-10.057425281214963,5.733789348227148,0.0,0.0,3.504358636955354,5
18.58097240497709,18.58097240497709,0.7183643596846092,0.7183643596846092,71.83643596846092,-10.188836533723089,5.736865715376862,0.0,0.0,3.4830716239842294,6
18.62931214016976,18.62931214016976,0.7225164769568065,0.7225164769568065,72.25164769568066,-10.321542654108871,5.742335365298641,0.0,0.0,3.461220865170419,7
18.677388324176,18.677388324176,0.726582127102179,0.726582127102179,72.6582127102179,-10.457416348971213,5.750713260692677,0.0,0.0,3.438736460359895,8
18.725135059942847,18.725135059942847,0.730551227038553,0.730551227038553,73.0551227038553,-10.59750681819411,5.7624679358629445,0.0,0.0,3.415796210301955,9
18.772487897051406,18.772487897051406,0.7344178357205134,0.7344178357205134,73.44178357205135,-10.743210353928461,5.779766250794759,0.0,0.0,3.392627448311277,10
18.819505902312702,18.819505902312702,0.7381939137941067,0.7381939137941067,73.81939137941067,-10.895184681205969,5.800527006066584,0.0,0.0,3.369260424135165,11
18.866193681315263,18.866193681315263,0.7418908294360718,0.7418908294360718,74.18908294360718,-11.052113144666297,5.822297065190909,0.0,0.0,3.345813281084248,12
18.912483009666,18.912483009666,0.745512565381081,0.745512565381081,74.5512565381081,-11.209342311354968,5.833936795505807,0.0,0.0,3.32254873232242,13
18.958400971668613,18.958400971668613,0.7490674585437483,0.7490674585437483,74.90674585437483,-11.36265291627402,5.837983602903857,0.0,0.0,3.2994864446438172,14
19.003982786844443,19.003982786844443,0.7525616079438802,0.7525616079438802,75.25616079438802,-11.519207909214677,5.8447345922795595,0.0,0.0,3.2765778032938835,15
19.049176956057952,19.049176956057952,0.7559915848906499,0.7559915848906499,75.59915848906499,-11.678034194073078,5.854056997023205,0.0,0.0,3.2539822233474456,16
19.093965663057023,19.093965663057023,0.7593530521204175,0.7593530521204175,75.93530521204175,-11.837852030878791,5.859793887131101,0.0,0.0,3.231767001964133,17
19.13839583061485,19.13839583061485,0.7626446009952742,0.7626446009952742,76.26446009952743,-11.997810976081762,5.85944754159584,0.0,0.0,3.2098017828630594,18
19.182439542777505,19.182439542777505,0.765862111208492,0.765862111208492,76.5862111208492,-12.1584049873845,5.861486403461164,0.0,0.0,3.1882004711168044,19
19.22607451783354,19.22607451783354,0.7690060312437025,0.7690060312437025,76.90060312437025,-12.32077161391402,5.866918699172851,0.0,0.0,3.167086407333405,20
19.269344252811763,19.269344252811763,0.772082213456439,0.772082213456439,77.2082213456439,-12.485869592715353,5.875097196173105,0.0,0.0,3.1463523779892926,21
19.31223387265251,19.31223387265251,0.775086800736334,0.775086800736334,77.5086800736334,-12.653425497747886,5.88478277182732,0.0,0.0,3.126072307889499,22
19.354721729635678,19.354721729635678,0.7780099057114521,0.7780099057114521,77.8009905711452,-12.822936548726759,5.890977355700141,0.0,0.0,3.1063535924237087,23
19.396849305756522,19.396849305756522,0.7808463111910061,0.7808463111910061,78.0846311191006,-12.995396043263916,5.899184744228884,0.0,0.0,3.087069825714707,24
19.43860609566493,19.43860609566493,0.7835946192669997,0.7835946192669997,78.35946192669996,-13.171986654113573,5.91257417208453,0.0,0.0,3.06830830737094,25
19.47998463036412,19.47998463036412,0.7862602711253148,0.7862602711253148,78.62602711253149,-13.353582313508035,5.927833273960696,0.0,0.0,3.0501676209587796,26
19.52102339437406,19.52102339437406,0.7888513063253361,0.7888513063253361,78.8851306325336,-13.5407362189839,5.943530968182555,0.0,0.0,3.032546933017991,27
19.561706519815676,19.561706519815676,0.7913641965057822,0.7913641965057822,79.13641965057822,-13.733012106177082,5.963694097847452,0.0,0.0,3.0155536116531754,28
19.602042941795823,19.602042941795823,0.793792160459071,0.793792160459071,79.3792160459071,-13.930057795861096,5.988805884459013,0.0,0.0,2.999169766962474,29
19.642058195001965,19.642058195001965,0.7961354121538194,0.7961354121538194,79.61354121538194,-14.131691440157324,6.0181592588546495,0.0,0.0,2.9833035428127412,30
19.681734898880528,19.681734898880528,0.7984045311421745,0.7984045311421745,79.84045311421745,-14.337265870585288,6.048223035189914,0.0,0.0,2.96809139387934,31
19.72110142322853,19.72110142322853,0.8006186954473563,0.8006186954473563,80.06186954473563,-14.546220601585961,6.077213742977964,0.0,0.0,2.953448983629807,32
19.76016116275074,19.76016116275074,0.8027851055125309,0.8027851055125309,80.27851055125309,-14.7581758574071,6.108054433220389,0.0,0.0,2.9393884722198544,33
19.798916974396437,19.798916974396437,0.8048997106792736,0.8048997106792736,80.48997106792736,-14.973442884485307,6.14086846418938,0.0,0.0,2.9259102568958633,34
