generation,best_fitness,mean_fitness,std_fitness,best_directivity_dbi
0,19.948975926105504,19.31509446294702,0.5863460004710396,19.948975926105504
1,20.02815112082011,19.65112761996266,0.3318668285402066,20.02815112082011
2,20.068397352344206,19.880043041997638,0.139761193244369,20.068397352344206
3,20.151113000104488,19.998603428800713,0.07431356873771751,20.151113000104488
4,20.191144136160073,20.09416761584587,0.06050588089659603,20.191144136160073
5,20.21077131294872,20.138697312299918,0.041169692579524186,20.21077131294872
6,20.25260518454194,20.16995371447914,0.03415852678395113,20.25260518454194
7,20.25260518454194,20.201010643611113,0.027585727166523855,20.25260518454194
8,20.277176122709555,20.224150669683585,0.023653181004754362,20.277176122709555
9,20.29663778413195,20.24938891939395,0.02273218919328588,20.29663778413195
10,20.306717477729528,20.26784298638904,0.01730141719534396,20.306717477729528
11,20.307999951657997,20.281601887803447,0.013295561030518996,20.307999951657997
12,20.32056258761343,20.292488652602913,0.013707542118451481,20.32056258761343
13,20.32673651876386,20.303515864166044,0.011479985604910562,20.32673651876386
14,20.331977254719348,20.311234634775495,0.010151051501972794,20.331977254719348
15,20.343127799755827,20.31840846396665,0.01021656856138248,20.343127799755827
16,20.347413571305985,20.326179636451133,0.009312697660018151,20.347413571305985
17,20.352118245113214,20.33387802634474,0.0084348236136576,20.352118245113214
18,20.36559525767887,20.341667011409,0.010146577016874653,20.36559525767887
19,20.375723523066377,20.35405065323093,0.00982427598567783,20.375723523066377
20,20.38303898495121,20.36375795431875,0.009424557086393195,20.38303898495121
21,20.40167075972381,20.371913726603626,0.010272938519407152,20.40167075972381
22,20.406935973101874,20.383161018033974,0.010308561964152233,20.406935973101874
23,20.408846275487637,20.391071597231125,0.009610164220432971,20.408846275487637
24,20.417487353719224,20.39816261886013,0.007848913023396624,20.417487353719224
25,20.42348443037219,20.406664187003752,0.007542781098502358,20.42348443037219
26,20.4245423297893,20.413769713036594,0.005865096467888304,20.4245423297893
27,20.430140058085925,20.419244633805228,0.005342936390872543,20.430140058085925
28,20.43311281238457,20.422703949972387,0.004485800970323013,20.43311281238457
29,20.43311968379524,20.425767305524236,0.0037622322303197064,20.43311968379524
30,20.435239126354688,20.427071851228046,0.003581065774748704,20.435239126354688
31,20.437445906167095,20.43058417337313,0.0030534598238677983,20.437445906167095
32,20.439383545105226,20.432795042599903,0.002634640974334254,20.439383545105226
33,20.442075740976055,20.434649355263417,0.0027285190900910726,20.442075740976055
34,20.442075740976055,20.43659633087126,0.002504110535137803,20.442075740976055
35,20.442075740976055,20.43827045596981,0.002091943590407679,20.442075740976055
36,20.444551975819447,20.43929404300685,0.0019694314717537157,20.444551975819447
37,20.44491169435968,20.44054697804547,0.0016521298534586714,20.44491169435968
38,20.44491169435968,20.44124209169347,0.0017013023540490746,20.44491169435968
39,20.44529324223642,20.441865196963036,0.0017868290770594547,20.44529324223642
40,20.44529324223642,20.442852139970505,0.0014238272405059226,20.44529324223642
41,20.445898558015564,20.443452043342173,0.0012579301986163948,20.445898558015564
42,20.445898558015564,20.444049946937746,0.0009019094322670196,20.445898558015564
43,20.445898558015564,20.444350844752975,0.0008558722503971385,20.445898558015564
44,20.446668687748932,20.44473148795455,0.0007409583858670498,20.446668687748932
45,20.446884681789737,20.44513386235468,0.0008119305631911452,20.446884681789737
46,20.447209983990284,20.44547991899898,0.0008008223272734668,20.447209983990284
47,20.447209983990284,20.445758792929208,0.0007604378122474833,20.447209983990284
48,20.447512607281002,20.445955974877076,0.0008077676813291664,20.447512607281002
49,20.448607932841085,20.446308581430706,0.0009000702287213341,20.448607932841085
50,20.448607932841085,20.446699688978857,0.0008153262278858338,20.448607932841085
51,20.448607932841085,20.447106454945327,0.0008183656363323245,20.448607932841085
52,20.448883456299363,20.447421586738034,0.0006455054728596763,20.448883456299363
53,20.448978748891747,20.447793720726995,0.0006380172983378298,20.448978748891747
54,20.449155909691804,20.44799309899286,0.0005549258314107704,20.449155909691804
55,20.449345390141676,20.44821184832819,0.0005828156193501338,20.449345390141676
56,20.449731311172265,20.4486006798731,0.0005072065919452209,20.449731311172265
57,20.450408070238552,20.44888180018885,0.0005363056218254647,20.450408070238552
58,20.45053699066095,20.449413886584775,0.0004879026220078636,20.45053699066095
59,20.450574261005386,20.44978010450311,0.00046459859763123073,20.450574261005386
60,20.450604607207133,20.44991848826384,0.0004555166053477914,20.450604607207133
61,20.45107531376173,20.45013111875493,0.00043804172703278225,20.45107531376173
62,20.45107531376173,20.45039841241901,0.0003169946743210996,20.45107531376173
63,20.45107531376173,20.450499956482385,0.0003245661718900971,20.45107531376173
64,20.451115910051698,20.450641064355906,0.00027054048267346423,20.451115910051698
65,20.4511200088292,20.450742589790238,0.0002515549163293016,20.4511200088292
66,20.451294353941588,20.45082687124025,0.000235153500849672,20.451294353941588
67,20.451294353941588,20.450949014193224,0.0002113970822800075,20.451294353941588
68,20.451297640326604,20.451022354226318,0.00018339079363467967,20.451297640326604
69,20.45149810956593,20.451121722689788,0.00016226990621329848,20.45149810956593
70,20.451649812567748,20.451199428201253,0.00017697830248836823,20.451649812567748
71,20.451679283932258,20.45129806522059,0.0002012490754260405,20.451679283932258
72,20.451737335373757,20.45138586977203,0.00017489025817362883,20.451737335373757
73,20.451737335373757,20.45141962067765,0.00016514837820699998,20.451737335373757
74,20.451737335373757,20.45148294844863,0.00012200601725716608,20.451737335373757
75,20.451737335373757,20.451518170732214,0.00011091681655980738,20.451737335373757
76,20.451737335373757,20.451562554096864,9.079832700471006e-05,20.451737335373757
77,20.451737335373757,20.45159109041911,8.256080896338111e-05,20.451737335373757
78,20.45180005944763,20.451604618375438,8.09803981895193e-05,20.45180005944763
79,20.451886970326814,20.451651293068696,0.00010438073755011946,20.451886970326814
80,20.451886970326814,20.451676517459646,9.934720024735289e-05,20.451886970326814
81,20.451886970326814,20.451713867578707,8.684824242837519e-05,20.451886970326814
82,20.451886970326814,20.451753766600667,7.742427547179889e-05,20.451886970326814
83,20.451919463208984,20.45176913913008,7.310789655875159e-05,20.451919463208984
84,20.451919463208984,20.451794606488885,6.596998022529437e-05,20.451919463208984
85,20.45193680369451,20.451811499730013,6.52444192190047e-05,20.45193680369451
86,20.451954244438024,20.451825724372043,6.537533767015787e-05,20.451954244438024
87,20.452011164377495,20.451856538378404,7.48790452714151e-05,20.452011164377495
88,20.452036215507366,20.45189863433032,6.346963514151955e-05,20.452036215507366
89,20.452078426803546,20.45192414249284,6.23800762243391e-05,20.452078426803546
90,20.452078426803546,20.451966260295972,5.856741353711401e-05,20.452078426803546
91,20.452097667397613,20.45199129569055,5.701660085640618e-05,20.452097667397613
92,20.452106330823717,20.45200599229226,5.615462291397477e-05,20.452106330823717
93,20.452106330823717,20.45202001920133,5.430622345784018e-05,20.452106330823717
94,20.45211536031395,20.452033197246806,5.006528358565165e-05,20.45211536031395
95,20.45211536031395,20.452049523656573,4.21561863307803e-05,20.45211536031395
96,20.452126515483787,20.452066297038055,4.092019232036929e-05,20.452126515483787
97,20.452126515483787,20.452076026363965,3.77644727409227e-05,20.452126515483787
98,20.452151977091695,20.45208491814196,3.4130729255331876e-05,20.452151977091695
99,20.452166534638394,20.45209890686561,3.3946001752259155e-05,20.452166534638394
100,20.452166534638394,20.452118545744067,2.6328863052935148e-05,20.452166534638394
101,20.452177678858632,20.452129822880003,2.6928061092846687e-05,20.452177678858632
102,20.45219556834953,20.45213726400795,2.9532079465783594e-05,20.45219556834953
103,20.45219556834953,20.452144342125802,2.6194789263512043e-05,20.45219556834953
104,20.452199479549357,20.452152377671045,2.4741959186314874e-05,20.452199479549357
105,20.452199479549357,20.452157604128292,2.2201056888883117e-05,20.452199479549357
106,20.452210929324266,20.45216307898805,1.9759827844485097e-05,20.452210929324266
107,20.452210929324266,20.452167711885775,1.8865824164445457e-05,20.452210929324266
108,20.45221144506693,20.452172689110174,1.9578484820380173e-05,20.45221144506693
109,20.452216190135143,20.452176787601015,1.9271773238844904e-05,20.452216190135143
110,20.452216190135143,20.452182492423805,1.841064749213793e-05,20.452216190135143
111,20.452216190135143,20.45218748649914,1.7129128196880742e-05,20.452216190135143
112,20.452224353815737,20.452191908166302,1.606593581884248e-05,20.452224353815737
113,20.452225633343204,20.452197144751825,1.5066592183592193e-05,20.452225633343204
114,20.45222785835898,20.45220105731256,1.3560163633743204e-05,20.45222785835898
115,20.452229418410273,20.45220474257822,1.3232368730678474e-05,20.452229418410273
116,20.452229418410273,20.452207449525297,1.2805572124654507e-05,20.452229418410273
117,20.45222983933682,20.452209527232675,1.2877875518943818e-05,20.45222983933682
118,20.45224121465833,20.452212501954314,1.2944113407906457e-05,20.45224121465833
119,20.45224121465833,20.45221355900472,1.20323460047901e-05,20.45224121465833
120,20.45224121465833,20.452217983534258,1.057102528813963e-05,20.45224121465833
121,20.45224121465833,20.452219731689745,9.780024934012279e-06,20.45224121465833
122,20.45224121465833,20.45222170228465,8.958391900906834e-06,20.45224121465833
123,20.452242472157035,20.452224314950044,8.166270156800677e-06,20.452242472157035
124,20.452246373817825,20.452227230819357,8.340244842123148e-06,20.452246373817825
125,20.452246373817825,20.452229120274065,7.930562311022168e-06,20.452246373817825
126,20.452246373817825,20.45223181299334,7.486337584265451e-06,20.452246373817825
127,20.452246373817825,20.452232773205218,7.754601271331468e-06,20.452246373817825
128,20.45225315989667,20.45223555207176,8.284763195905434e-06,20.45225315989667
129,20.45225315989667,20.452240525393137,7.346769467592824e-06,20.45225315989667
130,20.4522566128299,20.452244139933192,4.825422412370516e-06,20.4522566128299
131,20.4522566128299,20.452245827874105,4.902767478751462e-06,20.4522566128299
132,20.4522566128299,20.45224719892019,4.514057962457066e-06,20.4522566128299
133,20.4522566128299,20.45224878339864,4.637467882923145e-06,20.4522566128299
134,20.4522566128299,20.452249690098885,3.921731620763629e-06,20.4522566128299
135,20.4522566128299,20.452250520179625,3.5695602136396705e-06,20.4522566128299
136,20.4522566128299,20.45225147790392,3.2550307013293095e-06,20.4522566128299
137,20.45225726871267,20.452252318434187,2.9472163057701017e-06,20.45225726871267
138,20.452258280246724,20.452253182326544,2.5287628635352976e-06,20.452258280246724
139,20.452259168811917,20.452254334584406,2.547708632440272e-06,20.452259168811917
140,20.452259591757315,20.452254859341444,2.7286040147118956e-06,20.452259591757315
141,20.452260859496576,20.45225573599044,2.8224206083071956e-06,20.452260859496576
142,20.45226090798495,20.452256335999625,2.6691401312055253e-06,20.45226090798495
143,20.45226090798495,20.4522567309018,2.4058730992663106e-06,20.45226090798495
144,20.45226090798495,20.452257087815862,2.304328504071846e-06,20.45226090798495
145,20.452261251316088,20.452257740203194,2.0554503733290904e-06,20.452261251316088
146,20.452261940105494,20.452258509100556,1.8510227302440192e-06,20.452261940105494
147,20.452261940105494,20.45225870717828,1.94895798328723e-06,20.452261940105494
148,20.45226400052126,20.452259308166767,1.9034821415807522e-06,20.45226400052126
149,20.45226513354625,20.452260394601883,1.961909839700043e-06,20.45226513354625
