iteration,best_fitness,mean_fitness,std_fitness,best_directivity_dbi,inertia_weight
0,19.931333866666627,18.580083708491173,0.9499334264295292,19.931333866666627,0.9
1,19.962185665721087,19.11957398134006,0.7393517532476918,19.962185665721087,0.8966666666666667
2,19.99446377136501,19.544688560284836,0.5096755622581519,19.99446377136501,0.8933333333333333
3,19.99446377136501,19.793818509297623,0.2717060993376962,19.99446377136501,0.89
4,20.0461600059907,19.896544801062866,0.12312800025798178,20.0461600059907,0.8866666666666667
5,20.06162387750863,19.975814515337337,0.042618731383956644,20.06162387750863,0.8833333333333333
6,20.132188446198562,20.02040329177586,0.06441321129621731,20.132188446198562,0.88
7,20.172300087288487,20.045565201969016,0.08806553750022796,20.172300087288487,0.8766666666666667
8,20.19101356280997,20.074938350374357,0.09713801526348492,20.19101356280997,0.8733333333333334
9,20.211942724219945,20.117657715115747,0.08980364033712666,20.211942724219945,0.87
10,20.226150187446336,20.11847071743932,0.08568280311714103,20.226150187446336,0.8666666666666667
11,20.2554364582936,20.144563835818253,0.08646897464959509,20.2554364582936,0.8633333333333334
12,20.275550256069522,20.164470311998794,0.09976543953028166,20.275550256069522,0.86
13,20.314272312322913,20.18694507017118,0.09072861633330169,20.314272312322913,0.8566666666666667
14,20.326624891631326,20.238549855835355,0.07834940069794685,20.326624891631326,0.8533333333333334
15,20.34926509528585,20.23359405714106,0.10851910195099779,20.34926509528585,0.85
16,20.383731027006103,20.30392277663463,0.061194358593784054,20.383731027006103,0.8466666666666667
17,20.392217409454005,20.290885384895116,0.10921461169292225,20.392217409454005,0.8433333333333334
18,20.405251098117606,20.331813277953447,0.06800712518170614,20.405251098117606,0.8400000000000001
19,20.421928663429302,20.308962539580175,0.12995436838326133,20.421928663429302,0.8366666666666667
20,20.428770366811243,20.337420787611983,0.09630078378087631,20.428770366811243,0.8333333333333334
21,20.43482823730502,20.33316910274438,0.13654239779942334,20.43482823730502,0.8300000000000001
22,20.437769803547585,20.35460605094838,0.1089498668207717,20.437769803547585,0.8266666666666667
23,20.438439417032086,20.34250473005466,0.11379914048870729,20.438439417032086,0.8233333333333334
24,20.439366566941686,20.367287939674487,0.10219218209983132,20.439366566941686,0.8200000000000001
25,20.440690594028364,20.368531044293864,0.10129370515891113,20.440690594028364,0.8166666666666667
26,20.440690594028364,20.381604907002803,0.08904393146535125,20.440690594028364,0.8133333333333334
27,20.441057335975078,20.36795317360431,0.11337957543478376,20.441057335975078,0.81
28,20.44584263870464,20.393071309704574,0.08206846127356317,20.44584263870464,0.8066666666666666
29,20.44584263870464,20.401404261233935,0.05999100755497659,20.44584263870464,0.8033333333333333
30,20.445966960015312,20.39393648765586,0.08075114378834564,20.445966960015312,0.8
31,20.44615291436002,20.407976641945982,0.04998226874417661,20.44615291436002,0.7966666666666666
32,20.446490237555203,20.396961935838075,0.07499770499926482,20.446490237555203,0.7933333333333333
33,20.446664373857647,20.40414830191253,0.05838713281238846,20.446664373857647,0.79
34,20.446913391925147,20.41426135047414,0.05387131251809926,20.446913391925147,0.7866666666666667
35,20.446913391925147,20.40533938643823,0.0754990184122746,20.446913391925147,0.7833333333333333
36,20.446913391925147,20.408849904341587,0.05853058170011281,20.446913391925147,0.78
37,20.446913391925147,20.413822352249877,0.054482334457602415,20.446913391925147,0.7766666666666667
38,20.447022768373667,20.41973882989999,0.0401748153048895,20.447022768373667,0.7733333333333333
39,20.447358416213987,20.42951320352809,0.038147095278248076,20.447358416213987,0.77
40,20.44750476385375,20.43073647504013,0.02441083115387981,20.44750476385375,0.7666666666666667
41,20.44750476385375,20.434600657870007,0.020496851576714683,20.44750476385375,0.7633333333333334
42,20.44750476385375,20.43333860194235,0.02037228082086076,20.44750476385375,0.76
43,20.44750476385375,20.435333329475643,0.02975554799443793,20.44750476385375,0.7566666666666667
44,20.44750476385375,20.430266413731335,0.06060708854892889,20.44750476385375,0.7533333333333334
45,20.44750476385375,20.44008304799341,0.010820405737939858,20.44750476385375,0.75
46,20.44750476385375,20.434709307816796,0.03710759075263468,20.44750476385375,0.7466666666666667
47,20.44750476385375,20.439683856273277,0.012824673308565519,20.44750476385375,0.7433333333333334
48,20.44750476385375,20.439768919784814,0.018518351395067544,20.44750476385375,0.74
49,20.447618020404374,20.44337635063292,0.005966598518494313,20.447618020404374,0.7366666666666667
50,20.447618020404374,20.440734260011222,0.023592658752372948,20.447618020404374,0.7333333333333334
51,20.447618020404374,20.443750754007265,0.006057256190039994,20.447618020404374,0.73
52,20.447618020404374,20.442880528599943,0.012664733240258028,20.447618020404374,0.7266666666666667
53,20.447618020404374,20.4451850052803,0.0038132430464732432,20.447618020404374,0.7233333333333334
54,20.447618020404374,20.445223418884222,0.008941082576893735,20.447618020404374,0.72
55,20.447618020404374,20.444908481123488,0.008156107588295656,20.447618020404374,0.7166666666666667
56,20.447618020404374,20.44629650483054,0.004260136428492129,20.447618020404374,0.7133333333333334
57,20.447618020404374,20.445833074754944,0.0055685133304749015,20.447618020404374,0.71
58,20.447618020404374,20.446663405462335,0.0025167932769356834,20.447618020404374,0.7066666666666667
59,20.447618020404374,20.446166577420744,0.004012714902998087,20.447618020404374,0.7033333333333334
60,20.447618020404374,20.446717523436945,0.0025524780559888316,20.447618020404374,0.7
61,20.447618020404374,20.446174443864088,0.005032600940357267,20.447618020404374,0.6966666666666667
62,20.447618020404374,20.445928579359723,0.008196621124077302,20.447618020404374,0.6933333333333334
63,20.447618020404374,20.447177591507447,0.0008459446261765771,20.447618020404374,0.6900000000000001
