Optimizer,Objective,Directivity_dBi,Peak_Theta_deg,Peak_Phi_deg,Num_Elements,Num_Params,Time_s,Iterations,Evaluations
Gradient (Adam),20.45817471054701,20.45817471054701,0.0,0.0,19,40,7.325125455856323,150,150
Genetic Algorithm,20.452604892250186,20.452604892250186,0.0,0.0,19,40,33.6186580657959,150,150
PSO,20.447618020404374,20.447618020404374,0.0,0.0,19,40,17.880943298339844,80,80
Differential Evolution,20.45225315989667,20.45225315989667,0.0,0.0,19,40,42.4716739654541,150,150
