array_type,objective,optimizer,freq_hz,num_elements,num_params,time_s,final_objective,directivity_dbi,cone_power_percent,steering_efficiency,gain_at_target_dbi,peak_theta_deg,peak_phi_deg
grid,directivity,Gradient,10000000000.0,16,34,7.80280613899231,19.176699860566615,19.176699860566615,72.04148549030583,0.9985283168302512,19.170303714063547,0.5,11.0
grid,directivity,GA,10000000000.0,16,34,107.26075649261475,19.08980105897888,19.08980105897888,0.0,0.0,0.0,5.0,359.0
grid,directivity,PSO,10000000000.0,16,34,105.37892031669617,19.0664389453139,19.0664389453139,0.0,0.0,0.0,1.5000001192092896,252.0
grid,directivity,DE,10000000000.0,16,34,105.61979007720947,18.999274454885125,18.999274454885125,0.0,0.0,0.0,0.0,0.0
grid,cone_power,Gradient,10000000000.0,16,34,3.797858476638794,0.9715108407188792,18.44416689038019,97.15108407188792,0.9999999999999634,18.44416689038019,0.0,0.0
grid,cone_power,GA,10000000000.0,16,34,100.62324261665344,0.9629116367651842,18.248395250086055,96.29116367651842,0.0,0.0,0.5,277.0
grid,cone_power,PSO,10000000000.0,16,34,101.69431352615356,0.9651280275079575,18.26415803104798,96.51280275079574,0.0,0.0,0.5,98.0
grid,cone_power,DE,10000000000.0,16,34,103.23564267158508,0.9052344141228018,17.382100056847015,90.52344141228018,0.0,0.0,0.0,0.0
grid,beam_steering,Gradient,10000000000.0,16,34,4.226491451263428,117.75059727753667,17.766364113649935,4.4045834374194355,0.9998488945605764,17.765707821479037,29.5,45.0
grid,beam_steering,GA,10000000000.0,16,34,101.40225672721863,117.12527672916806,17.1252767291867,0.0,0.9999999999998136,17.1252767291867,30.0,45.0
grid,beam_steering,PSO,10000000000.0,16,34,102.29497027397156,117.90020830596188,17.900208305972086,0.0,0.999999999999898,17.900208305972086,30.0,45.0
grid,beam_steering,DE,10000000000.0,16,34,107.13734173774719,117.46097225459765,17.462120309253393,0.0,0.9999889972973722,17.462072524860428,30.0,46.0
hexagonal,directivity,Gradient,28000000000.0,19,40,4.169133424758911,19.893887312796103,19.893887312796103,80.78541910097981,0.999999999999989,19.893887312796103,0.0,0.0
hexagonal,directivity,GA,28000000000.0,19,40,120.47718977928162,19.88630337436439,19.88630337436439,0.0,0.0,0.0,0.0,0.0
hexagonal,directivity,PSO,28000000000.0,19,40,101.155348777771,19.856004278316647,19.856004278316647,0.0,0.0,0.0,0.0,0.0
hexagonal,directivity,DE,28000000000.0,19,40,123.57387161254883,19.889972462673274,19.889972462673274,0.0,0.0,0.0,0.0,0.0
hexagonal,cone_power,Gradient,28000000000.0,19,40,3.508207321166992,0.9697446490730189,18.53282868460229,96.9744649073019,0.999999999999989,18.53282868460229,0.0,0.0
hexagonal,cone_power,GA,28000000000.0,19,40,120.99350762367249,0.9707679247070155,18.58151882179547,97.07679247070155,0.0,0.0,0.0,0.0
hexagonal,cone_power,PSO,28000000000.0,19,40,81.57830238342285,0.970780375900127,18.633984404166664,97.0780375900127,0.0,0.0,0.0,0.0
hexagonal,cone_power,DE,28000000000.0,19,40,123.1901445388794,0.9707649046910058,18.610214807390307,97.07649046910059,0.0,0.0,0.0,0.0
hexagonal,beam_steering,Gradient,28000000000.0,19,40,2.4462873935699463,21.76167544460806,15.501781031181753,45.78544581641207,0.14612614994601314,7.149060450006744,0.0,0.0
hexagonal,beam_steering,GA,28000000000.0,19,40,118.61321926116943,21.749639817593078,15.493366612838289,0.0,0.14609823509119735,7.139816308473344,0.0,0.0
hexagonal,beam_steering,PSO,28000000000.0,19,40,75.0390796661377,18.91993705989364,15.732971946684177,0.0,0.12291068664421921,6.628868395471718,0.0,0.0
hexagonal,beam_steering,DE,28000000000.0,19,40,121.62542724609375,21.577458559343786,15.426545797620898,0.0,0.14528657810920279,7.048800748423507,0.0,0.0
spiral,directivity,Gradient,6500000000.0,16,49,3.9541523456573486,21.92449779752895,21.92449779752895,61.14387584292893,0.999999999999941,21.92449779752895,0.0,0.0
spiral,directivity,GA,6500000000.0,16,49,103.325758934021,21.18513497633397,21.18513497633397,0.0,0.0,0.0,5.5,336.0
spiral,directivity,PSO,6500000000.0,16,49,105.01048398017883,21.52629961115805,21.52629961115805,0.0,0.0,0.0,4.0,142.0
spiral,directivity,DE,6500000000.0,16,49,107.60828351974487,21.519900689392507,21.519900689392507,0.0,0.0,0.0,0.0,0.0
spiral,cone_power,Gradient,6500000000.0,16,49,4.074946165084839,0.978912490892545,18.987008017047607,97.8912490892545,0.99999999999992,18.987008017047607,0.0,0.0
spiral,cone_power,GA,6500000000.0,16,49,99.08556938171387,0.9030942617301767,17.913925128967843,90.30942617301767,0.0,0.0,8.5,210.0
spiral,cone_power,PSO,6500000000.0,16,49,100.7608745098114,0.9240886509116141,17.300088067283525,92.4088650911614,0.0,0.0,0.0,0.0
spiral,cone_power,DE,6500000000.0,16,49,105.1440761089325,0.9297132128217854,17.38132347897503,92.97132128217854,0.0,0.0,0.0,0.0
spiral,beam_steering,Gradient,6500000000.0,16,49,1.0434458255767822,117.26097265551087,17.800354860394815,17.04976031697297,0.9948312366319445,17.77784899231642,29.0,45.0
spiral,beam_steering,GA,6500000000.0,16,49,101.51467776298523,117.45561815342869,17.48576202245072,0.0,0.99971110947833,17.484507205595694,29.5,45.0
spiral,beam_steering,PSO,6500000000.0,16,49,104.21457576751709,118.6197518514694,18.620124125406726,0.0,0.9999964322081294,18.62010863065646,29.5,45.0
spiral,beam_steering,DE,6500000000.0,16,49,105.9951319694519,116.57909726575645,16.579097265772653,0.0,0.999999999999838,16.579097265772653,30.0,45.0
