Optimizer,Objective,Steering_Efficiency,Gain_at_Target_dBi,Directivity_dBi,Peak_Theta_deg,Peak_Phi_deg,Target_Theta_deg,Target_Phi_deg,Num_Elements,Num_Params,Time_s,Iterations
Gradient (Adam),118.39509612621308,0.9999999999999717,18.395096126215897,18.395096126215897,30.0,45.0,30.0,45.0,16,18,7.032475233078003,150
Genetic Algorithm,118.0255769341536,0.9998918353521037,18.036393398943225,18.036863177447444,29.5,45.0,30.0,45.0,16,18,34.96751952171326,150
PSO,117.92702506733494,0.9999998691741239,17.92703814992255,17.927038718092007,29.5,44.0,30.0,45.0,16,18,35.05472230911255,150
Differential Evolution,117.68622794351386,0.9999999999999684,17.68622794351703,17.68622794351703,30.0,45.0,30.0,45.0,16,18,38.27066421508789,150
