objective,directivity_dbi,cone_power,cone_power_ratio,cone_power_percent,sll_db,min_spacing_mm,peak_theta_deg,peak_phi_deg,steering_efficiency,gain_at_target_dbi,target_theta_deg,target_phi_deg,grad_norm,iteration
-0.194024194466202,17.75971070725794,0.6423145976136335,0.6423145976136335,64.23145976136335,-7.867136609019703,14.989622900000027,0.0,0.0,0.012118339490553982,-1.4058581435216002,30.0,45.0,84.69023974278805,0
6.888373603772,17.566477944727644,0.622982179019667,0.622982179019667,62.2982179019667,-6.4470735175050295,14.689830442299042,0.5,45.0,0.03672398108598501,3.2159754951734993,30.0,45.0,71.70006319973768,1
13.649373812371149,17.29045412171198,0.5903482929238837,0.5903482929238837,59.034829292388366,-5.236235681312971,14.394249159609098,1.5000001192092896,45.0,0.07568704305402367,6.080669506968782,30.0,45.0,78.2705509302971,2
21.25859564461233,16.927816215859657,0.5459212400192759,0.5459212400192759,54.59212400192759,-4.157591105601646,14.099497758483267,2.5,45.0,0.1314362712791131,8.114968516701023,30.0,45.0,95.3213127982587,3
30.725391590116622,16.526784289444752,0.4966827420517297,0.4966827420517297,49.66827420517297,-3.1462626927289152,13.804065735112518,3.500000238418579,45.0,0.20980457714398584,9.744933875718036,30.0,45.0,122.52440443504958,4
42.8912032696697,16.06919851592574,0.44174961233193527,0.44174961233193527,44.17496123319353,-2.197212592751273,13.507579269415874,5.0,45.0,0.3179800589811319,11.09319737155651,30.0,45.0,161.20169390713735,5
58.48357597541914,15.551845978266359,0.3806116404948201,0.3806116404948201,38.06116404948201,-1.3179236421972371,13.211021764391159,7.000000476837158,45.0,0.46277985536969735,12.205590438449402,30.0,45.0,212.77436157561453,6
77.82993395061632,15.003087764844004,0.31369457183339905,0.31369457183339905,31.369457183339904,-0.5458494828150756,12.918183155894571,10.0,45.0,0.6471668364479597,13.113250305820351,30.0,45.0,266.5800514383029,7
98.32208029139629,14.571510932254515,0.24229000606059783,0.24229000606059783,24.229000606059785,-0.04391618776398641,12.63990846541509,17.0,45.0,0.8448288214458576,13.83919814681053,30.0,45.0,225.7678018356529,8
111.04994682132569,14.541026732459237,0.16907337507467723,0.16907337507467723,16.907337507467723,0.1550004924562929,12.390662962028651,25.000001907348633,45.0,0.9665660473323952,14.393342088086175,30.0,45.0,86.6826164725806,9
114.69871384623627,14.732312526280644,0.10384842981359681,0.10384842981359681,10.38484298135968,0.733799642201284,12.164344856869691,29.5,45.0,0.9996779997449065,14.730913871745628,30.0,45.0,12.869762124393457,10
113.72018618737631,14.909507709327448,0.05677302507548078,0.05677302507548078,5.677302507548078,1.506486376519296,11.991698320000042,32.500003814697266,45.0,0.9886045253679081,14.859733650585499,30.0,45.0,35.30410798887879,11
111.2279994810914,15.0762355241169,0.031085345435944708,0.031085345435944708,3.108534543594471,2.294466047477592,11.991698320000042,34.0,45.0,0.9631483223209086,14.913167249000532,30.0,45.0,60.05849797274142,12
108.64653545486726,15.163671513149055,0.021888197955274347,0.021888197955274347,2.1888197955274347,2.9960481503815566,11.991698320000042,35.0,45.0,0.937625689627567,14.883966492110567,30.0,45.0,78.64459282250799,13
106.6498043058146,15.1716605671363,0.023422048960522635,0.023422048960522635,2.3422048960522632,3.5447493177288663,11.992619708298522,35.5,45.0,0.9184747168047233,14.802332625342274,30.0,45.0,90.3125586106886,14
105.82445845246475,15.13835639481915,0.031127118899194384,0.031127118899194384,3.1127118899194386,3.874206653404668,12.060384873254762,35.5,45.0,0.9109133155225596,14.733126900208791,30.0,45.0,94.4290089484532,15
106.27173181809145,15.132090924795964,0.03885853568227159,0.03885853568227159,3.885853568227159,3.9598661762939296,12.181164911451992,35.5,45.0,0.9152427778753564,14.747454030555813,30.0,45.0,97.11485329076459,16
107.92471020266856,15.209749510537755,0.042128287854712045,0.042128287854712045,4.2128287854712045,3.7976872641520654,12.34419145190172,35.0,45.0,0.9302878710484458,14.895923097823985,30.0,45.0,90.71379725301121,17
110.4564714829248,15.377819275163706,0.04043507880851911,0.04043507880851911,4.043507880851911,3.389768114495619,12.538591857969793,34.0,45.0,0.952882583180456,15.168213164879184,30.0,45.0,74.24375941772725,18
113.14757066669316,15.579138262016986,0.038261031819757804,0.038261031819757804,3.8261031819757805,2.824030634987439,12.753509554869279,33.0,45.0,0.9767078559572646,15.476785070966695,30.0,45.0,55.86751200137231,19
115.0921329186129,15.763457830177499,0.040332247930270966,0.040332247930270966,4.033224793027097,2.241318622497494,12.979745803817346,31.5,45.0,0.9935670335612425,15.735429562488646,30.0,45.0,28.84801670862802,20
115.9079751217605,15.907975121764185,0.04765791837844118,0.04765791837844118,4.765791837844118,1.734526518669042,13.2046910254274,30.0,45.0,0.9999999999999633,15.907975121764185,30.0,45.0,4.663150036170905,21
115.65854834564259,16.018677625907785,0.05807651806196521,0.05807651806196521,5.807651806196521,1.3429671694279588,13.41500125407684,29.0,45.0,0.996548848050847,16.003663540557895,30.0,45.0,16.28265024122272,22
114.75963085243552,16.10753388787503,0.06877143721623498,0.06877143721623498,6.877143721623498,1.061575686213581,13.601802872240489,28.000001907348633,45.0,0.9870854927357388,16.051081578861634,30.0,45.0,32.42026702768547,23
113.70968972033195,16.179550001764294,0.07731365408445241,0.07731365408445241,7.7313654084452414,0.8789449520517646,13.756561014393883,27.000001907348633,45.0,0.9763412340497094,16.07556631536102,30.0,45.0,48.15710868246136,24
112.94523474912924,16.23305137847072,0.08182374018043077,0.08182374018043077,8.182374018043078,0.7863094217996146,13.871823623647261,27.000001907348633,45.0,0.9685113617220569,16.094098576923564,30.0,45.0,47.59237256064898,25
