Optimizer,Objective,Cone_Power_%,Directivity_dBi,Peak_Theta_deg,Peak_Phi_deg,Cone_Half_Angle_deg,Time_s,Iterations,Evaluations
Gradient (Adam),0.9807721790413677,98.07721790413677,19.037589837883317,0.0,0.0,25.0,6.977157115936279,150,150
Genetic Algorithm,0.9739054205405452,97.39054205405452,18.861709225099194,0.0,0.0,25.0,33.583754539489746,150,150
PSO,0.9693869605343826,96.93869605343825,18.69415066877757,0.0,0.0,25.0,29.702057600021362,135,135
Differential Evolution,0.961786192711428,96.1786192711428,18.546115168230454,0.0,0.0,25.0,41.42773389816284,150,150
